#,id,typ,icrs_ra_h,icrs_ra_m,icrs_ra_s,icrs_dec_d,icrs_dec_m,icrs_dec_s,fk5_ra_h,fk5_ra_m,fk5_ra_s,fk5_dec_d,fk5_dec_m,fk5_dec_s,fk4_ra_h,fk4_ra_m,fk4_ra_s,fk4_dec_d,fk4_dec_m,fk4_dec_s,gal_ra,gal_dec,pm_ra,pm_dec,plx,Umag,Bmag,Vmag,Rmag,Gmag,Imag,spec.type
2767,V* MZ CMa,LP*,07,21,04.3320754008,-25,53,29.921713404,07,21,04.3335489028,-25,53,29.943533596,07,19,01.0574676836,-25,47,47.601730857,239.2637755594037,-05.5017086482362,-13.220,12.706,4.63,~,7.475,5.886,~,4.861,~,M3-III-IIIa
2768,V* HQ CMa,EB*,07,20,54.9153770208,-26,57,49.812490368,07,20,54.9168474600,-26,57,49.834309429,07,18,53.0787851571,-26,52,07.744117528,240.2034406722195,-06.0278020274697,-4.135,5.821,1.54,~,5.816,5.986,~,5.961,~,B3V
2769,HD 59235,*,07,28,01.9282188792,-26,50,20.313933108,07,28,01.9297125002,-26,50,20.335793124,07,25,59.4876347171,-26,44,09.304084424,240.8358688738535,-04.5660976215166,10.218,8.265,3.19,~,7.79,6.26,~,5.697,~,K4III
2770,HD 58215,V*,07,23,28.9926186576,-27,50,03.461397576,07,23,28.9940955756,-27,50,03.483233844,07,21,28.1108687440,-27,44,10.327458954,241.2444303882954,-05.9246450724690,26.466,-4.207,4.78,~,6.890,5.356,~,4.770,~,K4III
2771,HD 58155,Be*,07,23,00.6973567920,-31,55,25.602435120,07,23,00.6988228915,-31,55,25.624268433,07,21,05.9111918157,-31,49,34.641406303,244.8550331520456,-07.8964403931380,-7.964,4.966,2.53,4.60,5.28,5.43,~,5.374,~,B3V
2772,HD 58535,*,07,24,43.8541565621,-31,48,32.057079848,07,24,43.8556297061,-31,48,32.078923486,07,22,48.8348517136,-31,42,34.279963229,244.9205535041481,-07.5193024357892,-21.181,9.185,5.14,~,6.358,5.280,~,5.024,~,K1+III
2773,HD 58766,*,07,25,42.9801153624,-31,44,19.397810364,07,25,42.9815925261,-31,44,19.419659366,07,23,47.7402405960,-31,38,17.387115950,244.9549454391949,-07.3010674701908,-8.352,4.772,2.44,5.39,6.124,6.297,~,6.281,~,B2/3III
2774,HD 59550,*,07,29,04.9147536024,-31,27,22.384517904,07,29,04.9162444004,-31,27,22.406382178,07,27,09.0325971337,-31,21,06.719956296,245.0383789026425,-06.5352073208932,-9.376,4.982,2.90,4.82,5.585,5.768,~,5.748,~,B2IV
2775,HD 59256,*,07,27,59.1598818816,-29,09,21.235356792,07,27,59.1613719506,-29,09,21.257216611,07,26,00.0083390486,-29,03,10.069404240,242.8832773218841,-05.6660160265296,-8.561,3.725,4.42,~,5.492,5.542,~,5.524,~,B9V(pSi)
2776,* eta CMa,s*b,07,24,05.70228,-29,18,11.1798,07,24,05.70376,-29,18,11.2017,07,22,06.97654,-29,12,15.9643,242.61653052,-06.48571702,-4.14,5.81,1.64,1.65,2.37,2.45,2.38,~,2.44,B5Ia
2777,HD 57299,*,07,19,13.6844804904,-33,43,37.789533624,07,19,13.6859262234,-33,43,37.811339890,07,17,21.9738521809,-33,38,01.663336569,246.1213096637148,-09.4185587791612,-16.473,-7.105,4.31,~,7.609,6.300,~,5.896,~,K2/3III
2778,HD 58286,*,07,23,31.8950856528,-32,12,07.436095704,07,23,31.8965531748,-32,12,07.457932269,07,21,37.4907989751,-32,06,14.348717314,245.1557933223348,-07.9253589525422,-6.208,5.285,2.54,4.52,5.21,5.39,~,5.357,~,B2/3II/III
2779,HD 59026,*,07,26,42.4656369864,-34,08,26.499461784,07,26,42.4671136582,-34,08,26.521315774,07,24,50.8576497925,-34,02,20.372578620,247.2039837416839,-08.2213526232810,-8.173,5.768,2.96,5.04,5.730,5.884,~,5.868,~,B3/5V
2780,HD 59499,*,07,28,51.153,-31,50,54.22,07,28,51.154,-31,50,54.24,07,26,55.871,-31,44,39.55,245.364451,-06.761674,-9.4,6.7,~,~,6.20,6.37,~,~,~,B2.5V
2781,CD-31 4590,**,07,28,51.15322,-31,50,54.2526,07,28,51.15471,-31,50,54.2744,07,26,55.87188,-31,44,39.4278,245.36445931,-06.76167791,-9.57,3.59,4.38,~,5.78,5.94,~,~,~,~
2782,HD 58420,*,07,23,58.3372388400,-35,50,16.213001964,07,23,58.3386997023,-35,50,16.234841198,07,22,09.6908402095,-35,44,21.797232135,248.4767400826768,-09.4912705082094,-10.741,18.801,4.45,~,6.159,6.297,~,6.290,~,B5V
2783,* y Pup,XB*,07,29,05.6951953008,-38,48,43.442359164,07,29,05.6966748716,-38,48,43.464223488,07,27,21.7691941199,-38,42,27.825402601,251.6355533987172,-09.9251738564658,-19.836,15.281,5.08,~,5.243,5.395,~,5.388,~,B3V
2784,HD 60654,PM*,07,37,17.7914128728,+40,01,31.347536772,07,37,17.7929448819,+40,01,31.325655024,07,33,52.7072228926,+40,08,19.718468699,179.1019379745849,+25.3861030663298,-12.863,-49.022,3.98,9.870,7.930,6.340,~,5.634,~,M1
2785,HD 61294,V*,07,40,14.6930840928,+38,20,40.347143196,07,40,14.6946009464,+38,20,40.325262031,07,36,52.9914268431,+38,27,38.650810343,181.0642057679104,+25.4939273788941,-39.997,-10.303,3.24,9.31,7.36,5.73,~,5.059,~,M0III
2786,HD 59826,*,07,33,24.8294322768,+37,11,16.424229696,07,33,24.8309825188,+37,11,16.402352704,07,30,04.3152890824,+37,17,46.653832206,181.8728183620623,+23.8751651023953,1.016,5.301,5.99,~,7.63,6.39,~,6.051,~,K0
2787,* 70 Gem,*,07,38,32.8639164696,+35,02,54.779445240,07,38,32.8654420118,+35,02,54.757563297,07,35,16.1426482389,+35,09,44.581132859,184.4452898820206,+24.2408798879384,38.492,27.757,9.96,~,6.501,5.572,~,5.340,~,G8III
2788,* omi Gem,PM*,07,39,09.9346623336,+34,35,03.502791096,07,39,09.9361851836,+34,35,03.480909298,07,35,54.3059687329,+34,42,02.457865376,184.9727405722385,+24.2245628355320,-37.975,-105.132,19.33,5.41,5.30,4.90,4.51,4.771,4.29,F3III
2789,* alf Gem,**,07,34,35.87319,+31,53,17.8160,07,34,35.87473,+31,53,17.7941,07,31,24.61279,+32,00,00.6713,187.44099817,+22.47926806,-191.45,-145.19,64.12,1.64,1.62,1.58,1.51,~,1.52,A1V+A2Vm
2790,* alf Gem A,SB*,07,34,35.862828,+31,53,17.79429,07,34,35.864369,+31,53,17.77241,07,31,24.660714,+32,00,00.80321,187.440991492,+22.479231411,-206.3,-148.2,~,~,~,1.9,~,~,~,A1.5IV+
2791,* alf Gem B,SB*,07,34,36.100452,+31,53,18.57117,07,34,36.101993,+31,53,18.54929,07,31,24.898300,+32,00,01.59600,187.441065069,+22.480096673,-206.3,-148.2,~,~,~,3.0,~,~,~,kA0hA2:mA1IVs
2792,HD 61295,PM*,07,39,54.0948913920,+32,00,35.034156612,07,39,54.0964116698,+32,00,35.012275193,07,36,42.4047022089,+32,07,34.121658770,187.7056631848222,+23.5843461675120,-28.801,-46.579,9.28,~,6.523,6.165,~,6.074,~,F5III
2793,HD 60318,**,07,35,08.8032282360,+30,57,39.304643436,07,35,08.8047669280,+30,57,39.282763546,07,31,58.2968797259,+31,04,16.738258743,188.4303577428707,+22.2873714521087,-25.437,7.399,7.91,~,6.366,5.347,~,5.025,~,K0III
2794,* ups Gem,PM*,07,35,55.3500141720,+26,53,44.680194960,07,35,55.3515485014,+26,53,44.658314177,07,32,50.6033416914,+27,00,31.091255246,192.6053904526914,+21.0614195919813,-32.841,-106.002,12.88,7.54,5.60,4.06,2.82,3.386,1.91,M0III
2795,HD 61035,*,07,38,14.3693204256,+24,21,37.595759904,07,38,14.3708472548,+24,21,37.573877949,07,35,12.9249310160,+24,28,27.036609010,195.3384261863085,+20.6401624639683,10.289,20.805,21.27,6.670,6.690,6.370,~,6.295,~,F0
2796,HD 61219,*,07,39,12.0050990376,+24,13,21.110383956,07,39,12.0066231150,+24,13,21.088502170,07,36,10.8391661115,+24,20,15.363403496,195.5609694078812,+20.7937974433823,-3.552,1.344,6.97,6.240,6.200,6.180,~,6.174,~,A2V
2797,HD 61603,*,07,40,58.5185843832,+23,01,06.703077972,07,40,58.5201038041,+23,01,06.681197511,07,37,58.9809038255,+23,08,08.750991223,196.9183765638661,+20.7309144115252,-7.162,-12.340,2.81,~,7.458,5.906,~,5.331,~,K5III
2798,HD 59686,PM*,07,31,48.4045109592,+17,05,09.764723724,07,31,48.4060503202,+17,05,09.742850539,07,28,55.5052366913,+17,11,38.506368765,201.8039658244362,+16.4419325106304,39.385,-75.752,11.33,~,6.574,5.442,~,5.137,~,K2III
2799,* f Gem,**,07,39,28.5933680280,+17,40,28.278616584,07,39,28.5948923000,+17,40,28.256734918,07,36,35.3981940007,+17,47,24.029364765,202.0115326279568,+18.3538887667919,5.374,-1.199,5.11,8.53,6.61,5.05,~,4.348,~,K5.5III
