RA - Decimal,Dec - Decimal,Prop.motion RA,Prop.motion Dec,Mag V ,Red,Green,Blue,identifier             
292.6803355000,27.9596800833,-7.1700000000,-6.1500000000,3.08,1.0000,0.7872,0.5797,* bet01 Cyg
133.8484422300,5.9455653833,-100.0600000000,15.4600000000,3.1,1.0000,0.8541,0.7277,* zet Hya
162.4062031038,-16.1936488858,93.3500000000,198.8800000000,3.11,1.0000,0.8221,0.6541,* nu. Hya
274.4068127158,-36.7616852008,-129.5600000000,-166.2600000000,3.11,1.0000,0.6480,0.3346,* eta Sgr
309.3918000321,-47.2915007225,49.2400000000,66.5300000000,3.11,1.0000,0.8330,0.6787,* alf Ind
224.7903539092,-42.1041963664,-17.6200000000,-22.5100000000,3.11,0.4799,0.5868,1.0000,* kap Cen
87.7399674963,-35.7683097808,54.7700000000,404.2000000000,3.12,1.0000,0.8221,0.6541,* bet Col
258.7579607500,24.8392069722,-21.1800000000,-156.4800000000,3.13,0.6324,0.7081,1.0000,* del Her
134.8018881455,48.0418228607,-439.8360000000,-214.0710000000,3.13,0.7652,0.8035,1.0000,* iot UMa A
142.8054954738,-57.0343771611,-32.5400000000,5.8700000000,3.139,1.0000,0.7360,0.4803,* N Vel
134.8018900833,48.0418261389,-441.2900000000,-215.3200000000,3.14,0.7353,0.7827,1.0000,* iot UMa
140.2637508770,34.3925592893,-218.7230000000,16.5550000000,3.14,0.8000,0.8000,0.8000,* alf Lyn
281.4141087679,-26.9907762336,50.6100000000,1.2200000000,3.14,0.5496,0.6441,1.0000,* phi Sgr
173.9453253782,-63.0198349936,-33.8630000000,-7.2360000000,3.14,0.5750,0.6642,1.0000,* lam Cen
257.1966498433,65.7146842733,-20.4300000000,19.6100000000,3.17,0.5340,0.6316,1.0000,* zet Dra
99.4402973029,-43.1959333808,-0.4400000000,-3.8700000000,3.17,0.5496,0.6441,1.0000,* nu. Pup
143.2143078913,51.6773003061,-947.4600000000,-535.6000000000,3.18,0.8000,0.8000,0.8000,* tet UMa
76.6287223892,41.2344757558,31.4500000000,-67.8700000000,3.18,0.5013,0.6047,1.0000,* eta Aur
76.3652723742,-22.3710344147,21.1300000000,-73.1100000000,3.18,1.0000,0.7750,0.5548,* eps Lep
258.7618098475,36.8091623167,-27.2900000000,2.8200000000,3.18,1.0000,0.7872,0.5797,* pi. Her
44.5653181568,-40.3046776381,-52.2730000000,23.0580000000,3.18,0.6703,0.7362,1.0000,* tet01 Eri
72.4600454404,6.9612745261,464.0600000000,11.2100000000,3.19,0.8000,0.8000,0.8000,* pi.03 Ori
220.6267482517,-64.9751370697,-192.5300000000,-233.5100000000,3.19,0.7652,0.8035,1.0000,* alf Cir
230.3429742725,-40.6475303692,-9.1630000000,-17.3770000000,3.19,0.4701,0.5784,1.0000,* del Lup
254.4170743746,9.3750312767,-292.1300000000,-10.3800000000,3.2,1.0000,0.7992,0.6045,* kap Oph
292.6803583333,27.9596777778,-1.5000000000,-1.4000000000,3.2,1.0000,0.7872,0.5797,* bet01 Cyg A
318.2341080613,30.2269154631,6.5100000000,-68.2100000000,3.21,1.0000,0.8541,0.7277,* zet Cyg
267.4645037404,-37.0432763783,41.7170000000,11.9750000000,3.21,1.0000,0.7992,0.6045,* G Sco
226.0175669854,-25.2819612878,-71.1600000000,-43.3400000000,3.21,1.0000,0.6480,0.3346,* sig Lib
302.8261886683,0.8214618450,35.2600000000,5.7100000000,3.22,0.5750,0.6642,1.0000,* tet Aql
322.1649868804,70.5607151892,12.5400000000,8.3900000000,3.23,0.4509,0.5617,1.0000,* bet Cep
