C.D.S.  -  SIMBAD4 rel 1.8  -  2023.04.08CEST13:52:47

Vmag <= 6.5
-----------

Number of objects : 9071

 #  ;                              identifier                              ;typ;       coord1 (ICRS,J2000/2000)        ;        coord2 (FK5,J2000/2000)        ;        coord3 (FK4,B1950/1950)        ;      coord4 (Gal,J2000/2000)      ;         pm         ;   plx    ;     rv/z     ;   radvel   ;  redshift  ;     cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib ;#not
5007;HIP 13883                          HD 18557                           ;*  ;02 58 47.3017174224 -09 46 35.398607628;02 58 47.3030080715 -09 46 35.406135866;02 56 21.7263112636 -09 58 30.858700870;189.0077890366184 -55.3393306392484; -9.870 -15.775     ;10.537    ;v    -9.80    ;-9.80       ;-0.000033   ;-9.80       ;6.47     ;6.35     ;6.15     ;5.96     ;5.85     ;A2II/III             ;  58 ;   0
5008;HIP 43338                          HD 75495                           ;PM*;08 49 44.9444522688 -21 02 54.381843636;08 49 44.9461511418 -21 02 54.402670687;08 47 30.1596381746 -20 51 38.840191132;246.0611531666538 +14.2540043917591;  4.314 -57.026     ;11.599    ;v    -8.50    ;-8.50       ;-0.000028   ;-8.50       ;     ~   ;6.70     ;6.50     ;     ~   ;     ~   ;A6IV                 ;  31 ;   0
5009;HIP 76567                          HD 139290                          ;*  ;15 38 15.8114653992 -28 12 23.963527944;15 38 15.8136697152 -28 12 23.952589641;15 35 13.0295107074 -28 02 36.012920120;342.0630095776075 +21.7161319087962; 11.858 -27.074     ;4.4674    ;v    30.02    ;30.02       ;0.000100    ;30.02       ;     ~   ;7.502    ;6.319    ;     ~   ;     ~   ;K1III                ;  17 ;   0
5010;HIP 96100                          * sig Dra                          ;PM*;19 32 21.5902098601 +69 39 40.235805206;19 32 21.5916346068 +69 39 40.257679823;19 32 27.5759620523 +69 34 34.162069209;101.3033259307169 +21.8769554079307;597.384 -1738.286   ;173.4939  ;v    26.734   ;26.734      ;0.000089    ;26.74       ;5.860    ;5.460    ;4.680    ;4.04     ;3.63     ;K0V                  ; 615 ;   0
5011;HIP 96274                          HD 184268                          ;V* ;19 34 33.9414217743 -23 51 31.792432659;19 34 33.9429589417 -23 51 31.770553601;19 31 32.9244223475 -23 58 07.357145834;015.5067940947363 -19.6760980684233;   3.849 -6.722     ;2.4971    ;v   -11.8     ;-11.8       ;-0.000039   ;-11.80      ;     ~   ;8.154    ;6.475    ;     ~   ;     ~   ;K4/5III              ;  14 ;   0
5012;HIP 115738                         * kap Psc                          ;a2*;23 26 55.9558721856 +01 15 20.177913204;23 26 55.9574257161 +01 15 20.189779940;23 24 22.0939404175 +00 58 53.940357310;083.9164670468160 -55.0826952506720; 87.005 -95.945     ;20.3154   ;v    -4.40    ;-4.40       ;-0.000015   ;-4.40       ;4.94     ;4.98     ;4.94     ;4.87     ;4.90     ;A2VpSrCrSi           ; 272 ;   0
5013;HIP 19483                          * 37 Eri                           ;RG*;04 10 22.5198615504 -06 55 25.866957936;04 10 22.5212486587 -06 55 25.880435790;04 07 56.0292042416 -07 03 11.420388610;199.1874409959956 -38.7557687780180;  0.100 -11.688     ;8.9394    ;v    -8.14    ;-8.14       ;-0.000027   ;-8.14       ;     ~   ;6.383    ;5.442    ;     ~   ;     ~   ;G8III                ;  60 ;   0
5014;HIP 23261                          * 5 Aur                            ;** ;05 00 18.3396485448 +39 23 40.939197468;05 00 18.3419372214 +39 23 40.922312218;04 56 51.8069869782 +39 19 15.748412590;166.0918237325071 -01.7876508981200; -10.609 -2.561     ;18.3645   ;v     8.05    ;8.05        ;0.000027    ;8.05        ;     ~   ;6.41     ;5.97     ;     ~   ;     ~   ;F5V                  ;  51 ;   0
5015;HIP 36965                          HD 60335                           ;EB*;07 35 55.97410 +43 01 51.4501          ;07 35 55.97565 +43 01 51.4282          ;07 32 25.08989 +43 08 34.3718          ;175.80336873 +25.89183421          ;  -30.78 -53.05     ;7.11      ;v    20.6     ;20.6        ;0.000069    ;20.60       ;6.840    ;6.740    ;6.410    ;7.16     ;     ~   ;F2V                  ;  49 ;   0
5016;HIP 10320                          * mu. For                          ;*  ;02 12 54.4699976208 -30 43 25.773757068;02 12 54.4706671648 -30 43 25.777049202;02 10 42.3644401223 -30 57 27.323788435;229.1844996675109 -71.8417153161433;   14.425 6.616     ;10.2162   ;v    10.00    ;10.00       ;0.000033    ;10.00       ;     ~   ;5.243    ;5.260    ;     ~   ;5.26     ;A0V                  ;  80 ;   0
5017;HIP 70319                          HD 126053                          ;PM*;14 23 15.2847745835 +01 14 29.641269692;14 23 15.2862702403 +01 14 29.645534798;14 20 41.6932426373 +01 28 29.557328969;347.1642179600608 +56.0170288712536;223.531 -478.275    ;57.2706   ;v   -19.214   ;-19.214     ;-0.000064   ;-19.21      ;6.98     ;6.90     ;6.27     ;5.71     ;5.39     ;G1.5V                ; 393 ;   0
5018;HIP 103219                         HD 200039                          ;PM*;20 54 44.3512549872 +75 55 32.061148500;20 54 44.3546866781 +75 55 32.081824477;20 55 21.2010029003 +75 43 56.852474343;110.1444317999117 +19.3533054913853;  31.541 43.396     ;8.4354    ;v   -25.33    ;-25.33      ;-0.000084   ;-25.33      ;     ~   ;6.939    ;5.988    ;     ~   ;     ~   ;G5III                ;  32 ;   0
5019;HIP 37843                          * 2 Pup A                          ;EB*;07 45 29.1352793904 -14 41 25.925009208;07 45 29.1368180530 -14 41 25.946880397;07 43 11.0999612389 -14 34 04.259099438;232.1985514309935 +04.9053072064920;-10.562 -20.237     ;11.7184   ;v    25.20    ;25.20       ;0.000084    ;25.20       ;     ~   ;6.045    ;5.997    ;     ~   ;     ~   ;A5/8                 ;  39 ;   0
5020;HIP 84105                          V* V854 Ara                        ;LP*;17 11 38.6860584864 -48 52 24.204947628;17 11 38.6885827250 -48 52 24.187394716;17 07 50.2477700415 -48 48 45.747315066;339.7411222017461 -05.5414242665436;   7.600 -6.378     ;2.2444    ;v    23.20    ;23.20       ;0.000077    ;23.20       ;     ~   ;7.78     ;5.98     ;     ~   ;     ~   ;M1/2III              ;  29 ;   0
5021;HIP 110314                         HD 212136                          ;*  ;22 20 38.7697631736 +58 24 35.657052156;22 20 38.7728331901 +58 24 35.673669585;22 18 50.8075981419 +58 09 26.940722224;104.2455535545363 +01.1189592686682;  -3.218 21.219     ;5.9072    ;v   -18.72    ;-18.72      ;-0.000062   ;-18.72      ;     ~   ;7.433    ;6.448    ;     ~   ;     ~   ;G8III                ;  18 ;   0
5022;HIP 97081                          HD 186619                          ;V* ;19 43 45.0965622360 +41 46 23.199657276;19 43 45.0981199198 +41 46 23.221533032;19 42 04.8800640195 +41 39 07.615660674;075.6107643774295 +08.8340832693677;  18.278 10.839     ;5.2275    ;v   -45.97    ;-45.97      ;-0.000153   ;-45.97      ;9.40     ;7.41     ;5.84     ;     ~   ;     ~   ;M0III                ;  45 ;   0
5023;HIP 6432                           HD 8334                            ;PM*;01 22 36.9533894880 +01 43 34.798237140;01 22 36.9549600190 +01 43 34.799733067;01 20 02.3303057075 +01 27 57.184515120;138.7531785636678 -60.1841963099789; 66.154 -44.473     ;3.6483    ;v   -16.163200;-16.163200  ;-0.000054   ;-16.16      ;     ~   ;7.723    ;6.201    ;     ~   ;     ~   ;K5III                ;  38 ;   0
5024;HIP 52484                          HD 92884                           ;*  ;10 43 49.0923966288 +18 18 46.753724628;10 43 49.0935737653 +18 18 46.738629034;10 41 07.8903896206 +18 34 34.262737746;222.8632114323549 +59.3776352008373; 16.928 -43.619     ;4.1358    ;v   -13.43    ;-13.43      ;-0.000045   ;-13.43      ;     ~   ;7.84     ;6.50     ;     ~   ;     ~   ;K0                   ;  11 ;   0
5025;HIP 45272                          HD 79248                           ;*  ;09 13 37.2622422336 +21 16 59.542922388;09 13 37.2635392943 +21 16 59.522906106;09 10 46.0796806139 +21 29 25.344216451;207.2047000189347 +40.3625434567360;-14.029 -10.526     ;6.8327    ;v     8.8     ;8.8         ;0.000029    ;8.80        ;     ~   ;6.495    ;6.465    ;     ~   ;     ~   ;A2V                  ;  39 ;   0
5026;HIP 73273                          * bet Lup                          ;PM*;14 58 31.92536 -43 08 02.2699          ;14 58 31.92817 -43 08 02.2624          ;14 55 14.80606 -42 56 01.8406          ;326.25223315 +13.90914903          ;  -35.78 -39.83     ;8.52      ;v     0.2     ;0.2         ;0.000001    ;0.20        ;1.59     ;2.46     ;2.68     ;2.78     ;2.95     ;B2III                ; 187 ;   0
5027;HIP 86768                          HD 161056                          ;*  ;17 43 47.0221609752 -07 04 46.594311996;17 43 47.0237744469 -07 04 46.575105140;17 41 04.9954059558 -07 03 29.321932276;018.6701844711388 +11.5807966422992; -4.629 -10.512     ;2.4404    ;v   -26.00    ;-26.00      ;-0.000087   ;-26.00      ;6.26     ;6.68     ;6.32     ;5.94     ;5.67     ;B3II/III             ; 180 ;   0
5028;HIP 34                             HD 224758                          ;PM*;00 00 23.8999793688 +26 55 05.188812204;00 00 23.9021801536 +26 55 05.197877600;23 57 50.1004446823 +26 38 25.708902037;109.0932750528551 -34.5783589432603; 44.454 -52.802     ;16.0495   ;v     0.0     ;0.0         ;0.000000    ;0.00        ;     ~   ;6.925    ;6.434    ;     ~   ;     ~   ;F7.5IV-V             ;  46 ;   0
5029;HIP 6686                           * del Cas                          ;EB*;01 25 48.9514709 +60 14 07.022507      ;01 25 48.9555446 +60 14 07.023698      ;01 22 31.4860332 +59 58 34.310014      ;127.1900878092 -02.3519287885      ;  296.57 -49.22     ;32.81     ;v     6.70    ;6.70        ;0.000022    ;6.70        ;2.930    ;2.810    ;2.680    ;2.53     ;2.44     ;A5IV                 ; 259 ;   0
5030;HIP 13951                          * 5 Eri                            ;V* ;02 59 41.1602407728 -02 27 53.842132764;02 59 41.1617085595 -02 27 53.849741418;02 57 09.5275700182 -02 39 46.320888442;179.6751254091702 -50.6380497818660; -3.899 -22.759     ;8.6086    ;v    18.00    ;18.00       ;0.000060    ;18.00       ;     ~   ;5.48     ;5.55     ;     ~   ;     ~   ;B9V                  ;  49 ;   0
5031;* bet Mon A                                                           ;Be*;06 28 49.0704018024 -07 01 59.013827328;06 28 49.0718747414 -07 01 59.034711452;06 26 23.5199772304 -06 59 58.487643042;216.6613804272034 -08.2139440656501;  -6.518 -2.956     ;4.7209    ;v    20       ;20          ;0.000067    ;20.00       ;3.87     ;4.50     ;4.60     ;     ~   ;     ~   ;B4Veshell            ; 245 ;   0
5032;HIP 53860                          HD 95256                           ;PM*;11 01 05.6576405640 +63 25 15.952075752;11 01 05.6569108560 +63 25 15.938216021;10 57 57.2552182563 +63 41 25.648636550;141.5477227236495 +49.5288624160723;-50.248 -48.463     ;9.4878    ;v     7.00    ;7.00        ;0.000023    ;7.00        ;     ~   ;6.536    ;6.358    ;     ~   ;     ~   ;A2m                  ;  37 ;   0
5033;HIP 50562                          HD 89805                           ;*  ;10 19 42.0302418720 -65 08 14.056124352;10 19 42.0338068183 -65 08 14.072800383;10 18 09.5721065404 -64 53 07.627876972;287.8434853736379 -06.8107864376537;   -9.137 3.293     ;1.6729    ;v    16.03    ;16.03       ;0.000053    ;16.03       ;     ~   ;7.88     ;6.30     ;     ~   ;     ~   ;K2II                 ;  17 ;   0
5034;HIP 70363                          HD 125869                          ;PM*;14 23 48.5805188400 -53 10 34.479400944;14 23 48.5839555427 -53 10 34.475083881;14 20 23.4676200426 -52 56 58.038344947;316.6391155612301 +07.2193936326240;-54.062 -10.175     ;9.2755    ;v    -6.82    ;-6.82       ;-0.000023   ;-6.82       ;     ~   ;7.097    ;5.993    ;     ~   ;     ~   ;K1III                ;  16 ;   0
5035;HIP 8588                           * 54 Cet                           ;PM*;01 50 51.9726096936 +11 02 36.161996280;01 50 51.9744206399 +11 02 36.160796690;01 48 12.5267361764 +10 47 47.625596631;145.5830965192671 -49.1969505621426;-69.516 -27.520     ;24.0374   ;v    10.50    ;10.50       ;0.000035    ;10.50       ;     ~   ;6.215    ;5.922    ;     ~   ;     ~   ;F0Vs                 ;  92 ;   0
5036;HIP 28642                          HD 40722                           ;*  ;06 02 53.4969120528 +43 22 41.996766360;06 02 53.4989961188 +43 22 41.976753131;05 59 16.5897457692 +43 22 48.212939330;169.1527565189985 +10.2052517450837;  8.590 -29.438     ;8.4003    ;v   -19.029200;-19.029200  ;-0.000063   ;-19.03      ;8.880    ;7.560    ;6.350    ;     ~   ;     ~   ;K0                   ;  18 ;   0
5037;HIP 8688                           HD 11396                           ;*  ;01 51 46.0988921664 -15 38 50.930627712;01 51 46.1000109320 -15 38 50.931913293;01 49 21.0522383596 -15 53 39.006633908;176.6537566718185 -71.8914208211510;   13.923 1.453     ;4.1544    ;v     7.68    ;7.68        ;0.000026    ;7.68        ;     ~   ;8.02     ;6.45     ;     ~   ;     ~   ;M2III                ;  13 ;   0
5038;HIP 35025                          * 52 Gem                           ;PM*;07 14 41.9782633320 +24 53 05.943460668;07 14 41.9798595460 +24 53 05.921694588;07 11 38.5626884883 +24 58 24.938307444;192.7015858865541 +15.8834798499644; 52.508 -89.655     ;8.2499    ;v    42.14    ;42.14       ;0.000141    ;42.14       ;9.21     ;7.38     ;5.82     ;     ~   ;     ~   ;M1III                ;  39 ;   0
5039;HIP 25476                          HD 35519                           ;*  ;05 26 54.3175098792 +35 27 26.185531104;05 26 54.3196000576 +35 27 26.167147726;05 23 33.6422636224 +35 24 55.326277871;172.3758242416429 +00.1803359385116;-14.565 -11.452     ;4.6665    ;v   -19.98    ;-19.98      ;-0.000067   ;-19.98      ;     ~   ;7.603    ;6.151    ;     ~   ;     ~   ;K2                   ;  27 ;   0
5040;HIP 92475                          HD 174569                          ;** ;18 50 45.55163 +10 58 34.9970          ;18 50 45.55310 +10 58 35.0185          ;18 48 24.36442 +10 54 59.6107          ;042.65045104 +05.12959623          ;      7.92 4.66     ;2.59      ;v   -25.61    ;-25.61      ;-0.000085   ;-25.61      ;9.430    ;7.800    ;6.360    ;     ~   ;     ~   ;K5III                ;  34 ;   0
5041;HIP 55137                          * 75 Leo                           ;PM*;11 17 17.4004068 +02 00 38.003295      ;11 17 17.4018916 +02 00 37.990665      ;11 14 42.9873674 +02 17 08.928166      ;257.0182857749 +56.2468002715      ;  55.24 -142.61     ;9.82      ;v   -59.46    ;-59.46      ;-0.000198   ;-59.45      ;8.54     ;6.70     ;5.18     ;3.91     ;2.97     ;M0III                ; 111 ;   0
5042;HIP 43580                          HD 75916                           ;*  ;08 52 30.7624341384 -13 13 58.600027920;08 52 30.7640699619 -13 13 58.620772518;08 50 08.3594979186 -13 02 37.222938032;239.8825925191040 +19.4092006585955;  29.632 -0.109     ;9.4907    ;v    14.716200;14.716200   ;0.000049    ;14.72       ;     ~   ;7.268    ;6.109    ;     ~   ;     ~   ;K1III                ;  26 ;   0
5043;HIP 73133                          * ksi02 Lib                        ;*  ;14 56 46.1150412384 -11 24 34.920108828;14 56 46.1168452174 -11 24 34.912761952;14 54 03.0558763515 -11 12 32.617892661;345.3512364991647 +40.9171479514816;    8.851 9.815     ;4.4918    ;v    14.6     ;14.6        ;0.000049    ;14.60       ;     ~   ;6.946    ;5.450    ;     ~   ;     ~   ;K4III                ;  70 ;   0
5044;HIP 69614                          V* FS Vir                          ;LP?;14 14 53.0200376136 +03 20 09.183163632;14 14 53.0214803311 +03 20 09.186642143;14 12 21.6355662861 +03 34 07.143286430;346.5117047391648 +58.9556668322120;-49.053 -26.521     ;3.9788    ;v   -50.44    ;-50.44      ;-0.000168   ;-50.44      ;9.77     ;8.05     ;6.45     ;     ~   ;     ~   ;M3III                ;  38 ;   0
5045;HD 81809A                                                             ;PM*;09 27 46.784 -06 04 16.37              ;09 27 46.786 -06 04 16.39              ;09 25 18.135 -05 51 06.70              ;239.144240 +30.646813              ;   -227.3 -76.6     ;      ~   ;~            ~;~           ;~           ;~           ;     ~   ;6.20     ;5.56     ;     ~   ;     ~   ;~                    ;  12 ;   1
5046;HIP 44626                          * E Car                            ;Be*;09 05 38.3753516880 -70 32 18.594082500;09 05 38.3784138872 -70 32 18.614394486;09 05 14.4823587370 -70 20 13.555936003;286.1907726198008 -15.4295532766939;   -3.870 9.088     ;2.4706    ;v    19.00    ;19.00       ;0.000063    ;19.00       ;3.75     ;4.500    ;4.652    ;     ~   ;     ~   ;B3III                ;  98 ;   0
5047;HIP 57137                          HD 101917                          ;PM*;11 42 54.9320619984 -79 18 23.007543588;11 42 54.9403553706 -79 18 23.018100381;11 40 46.5886185681 -79 01 43.008142117;299.6577157975475 -16.8727977161377;127.152 -11.599     ;17.64     ;v    33.04    ;33.04       ;0.000110    ;33.04       ;     ~   ;7.281    ;6.378    ;     ~   ;     ~   ;K0III/IV             ;  22 ;   0
5048;HIP 103616                         * 20 Cap                           ;a2*;20 59 36.1395973248 -19 02 07.002794616;20 59 36.1409491564 -19 02 06.982275300;20 56 45.8007214678 -19 13 49.187860070;028.5370238445750 -36.5171623429324; 11.081 -18.958     ;4.6792    ;v   -10.10    ;-10.10      ;-0.000034   ;-10.10      ;     ~   ;6.12     ;6.25     ;     ~   ;     ~   ;ApSi                 ;  85 ;   0
5049;HIP 82861                          HD 152781                          ;PM*;16 56 01.8439567752 -16 48 22.555898568;16 56 01.8457699831 -16 48 22.539275850;16 53 08.4608921577 -16 43 41.811172638;003.7650944366258 +16.2169496323967;  82.078 29.989     ;23.6362   ;v     1.10    ;1.10        ;0.000004    ;1.10        ;     ~   ;7.292    ;6.336    ;     ~   ;     ~   ;K0/1III/IV           ;  38 ;   0
